Name,ID,URL
Ashwani Kumar,74296,https://www.cricket.com/players/ashwani-kumar-74296/recent
Rajat Patidar,65687,https://www.cricket.com/players/rajat-patidar-65687/recent
Jitesh Sharma,64724,https://www.cricket.com/players/jitesh-sharma-64724/recent
Yash Dayal,70155,https://www.cricket.com/players/yash-dayal-70155/recent
Rasikh Salam,70296,https://www.cricket.com/players/rasikh-salam-70296/recent
Jacob Bethell,85736,https://www.cricket.com/players/jacob-bethell-85736/recent
Manoj Bhandage,67648,https://www.cricket.com/players/manoj-bhandage-67648/recent
Swapnil Singh,4602,https://www.cricket.com/players/swapnil-singh-4602/recent
Romario Shepherd,66243,https://www.cricket.com/players/romario-shepherd-66243/recent
Nuwan Thushara,66158,https://www.cricket.com/players/nuwan-thushara-66158/recent
Deepak Hooda,63748,https://www.cricket.com/players/deepak-hooda-63748/recent
Gurjapneet Singh,86633,https://www.cricket.com/players/gurjapneet-singh-86633/recent
Devon Conway,13177,https://www.cricket.com/players/devon-conway-13177/recent
Mukesh Choudhary,67887,https://www.cricket.com/players/mukesh-choudhary-67887/recent
Shreyas Gopal,58155,https://www.cricket.com/players/shreyas-gopal-58155/recent
Vijay Shankar,61738,https://www.cricket.com/players/vijay-shankar-61738/recent
Kamlesh Nagarkoti,66807,https://www.cricket.com/players/kamlesh-nagarkoti-66807/recent
Ashutosh Sharma,68176,https://www.cricket.com/players/ashutosh-sharma-68176/recent
Mukesh Kumar,65723,https://www.cricket.com/players/mukesh-kumar-65723/recent
Tristan Stubbs,74761,https://www.cricket.com/players/tristan-stubbs-74761/recent
Sameer Rizvi,71376,https://www.cricket.com/players/sameer-rizvi-71376/recent
